source,source_domain,target,target_domain,timestamp
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/air-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/bedbugs,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/chemicals-and-toxics-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/location-specific-environmental-information,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/greener-living,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/health-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/land-waste-and-cleanup-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/lead,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/mold,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/pesticides,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/radon,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/science-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/environmental-topics/water-topics,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/topics-epa-web,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/laws-regulations,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/regulatory-information-sector,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/regulatory-information-topic,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/compliance,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/enforcement,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/laws-regulations/laws-and-executive-orders,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/guidance,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/laws-regulations/regulations,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa/epas-administrator,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa/senior-epa-leadership,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa/epa-organization-chart,epa.gov,20210101
https://www.epa.gov/,epa.gov,https://web.archive.org/web/20210102002138/https://cfpub.epa.gov/locator/index.cfm,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/planandbudget,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/careers,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa/regional-and-geographic-offices,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/aboutepa/research-centers-programs-and-science-advisory-organizations,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/home/forms/contact-epa,epa.gov,20210101
https://www.epa.gov/,epa.gov,https://web.archive.org/web/20210102002138/https://www.facebook.com/sharer.php?u=https://www.epa.gov/home&t=home,epa.gov,20210101
https://www.epa.gov/,epa.gov,https://web.archive.org/web/20210102002138/https://twitter.com/intent/tweet?original_referer=https://www.epa.gov/home&text=home&url=https://www.epa.gov/home&via=EPA&count=none&lang=en,epa.gov,20210101
https://www.epa.gov/,epa.gov,https://web.archive.org/web/20210102002138/mailto:%20?subject=Shared%20from%20the%20US%20EPA:%20home&body=home%20-%20https://www.epa.gov/home,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/newsreleases/epa-celebrates-50-year-progress-dedicates-conference-center-first-administrator,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/newsreleases/epa-celebrates-superfund-40-years-cleaning-and-transforming-communities-across-country,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/superfund/superfunds-40th-anniversary-look-back-decades,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/home/exit-epa,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/newsroom/epa-year-review-2019,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/newsreleases/epa-releases-2019-year-review-highlighting-agency-accomplishments-and-environmental,epa.gov,20210101
https://www.epa.gov/,epa.gov,/web/20210102002138/https://www.epa.gov/50,epa.gov,20210101
